date;hicp_index;hicp_rate
2013-08;99.32;0.0012096774193548487
2013-09;99.8;0.004832863471607052
2013-10;99.68;-0.0012024048096191953
2013-11;99.6;-0.0008025682182987159
2013-12;99.95;0.003514056224899642
2014-01;98.83;-0.011205602801400705
2014-02;99.14;0.003136699382778607
2014-03;100.07;0.00938067379463381
2014-04;100.22;0.0014989507344860264
2014-05;100.11;-0.0010975853123128543
2014-06;100.22;0.0010987913295374963
2014-07;99.57;-0.006485731390939997
2014-08;99.68;0.0011047504268355546
2014-09;100.12;0.004414125200641994
2014-10;100.06;-0.0005992808629644575
2014-11;99.88;-0.001798920647611446
2014-12;99.78;-0.001001201441729993
2015-01;98.24;-0.015433954700340813
2015-02;98.85;0.0062092833876221665
2015-03;100.0;0.01163378856853825
2015-04;100.43;0.0042999999999999705
2015-05;100.71;0.002788011550333369
2015-06;100.72;9.929500546124181e-05
2015-07;100.11;-0.006056393963463025
2015-08;100.12;9.989012086708549e-05
2015-09;100.32;0.0019976028765480436
2015-10;100.45;0.001295853269537517
2015-11;100.01;-0.004380288700846169
2015-12;100.03;0.00019998000199983323
2016-01;98.56;-0.01469559132260323
2016-02;98.73;0.0017248376623377748
2016-03;99.96;0.012458219386204616
2016-04;100.17;0.0021008403361344463
2016-05;100.59;0.004192872117400492
2016-06;100.77;0.001789442290486054
2016-07;100.28;-0.004862558301081621
2016-08;100.34;0.0005983246908656259
2016-09;100.72;0.003787123779150914
2016-10;100.96;0.002382843526608447
2016-11;100.6;-0.003565768621236143
2016-12;101.13;0.005268389662027806
2017-01;100.26;-0.008602788490062241
2017-02;100.66;0.003989626969878257
2017-03;101.49;0.008245579177428963
2017-04;102.07;0.005714848753571866
2017-05;101.98;-0.0008817478201232909
2017-06;102.08;0.0009805844283192755
2017-07;101.62;-0.004506269592476464
2017-08;101.89;0.0026569572918715423
2017-09;102.29;0.00392580233585238
2017-10;102.34;0.0004888063349299809
2017-11;102.14;-0.0019542700801250534
2017-12;102.49;0.0034266692774622687
2018-01;101.56;-0.009074056005463849
2018-02;101.78;0.002166207168176504
2018-03;102.91;0.011102377677343345
2018-04;103.32;0.003984063745019917
2018-05;103.97;0.0062911343399147945
2018-06;104.09;0.001154179090122165
2018-07;103.85;-0.002305696992986883
2018-08;104.01;0.0015406836783824485
2018-09;104.42;0.00394192866070564
2018-10;104.68;0.0024899444550852134
2018-11;104.1;-0.005540695452808664
2018-12;104.05;-0.0004803073967338811
2019-01;102.97;-0.010379625180201857
2019-02;103.3;0.0032048169369718327
2019-03;104.35;0.010164569215876051
2019-04;105.1;0.00718735026353623
2019-05;105.24;0.0013320647002854624
2019-06;105.41;0.0016153553781832475
2019-07;104.91;-0.004743382980741839
2019-08;105.06;0.001429796968830388
2019-09;105.29;0.002189225204644929
2019-10;105.44;0.001424636717636929
2019-11;105.1;-0.003224582701062295
2019-12;105.43;0.003139866793530066
2020-01;104.37;-0.010054064308071764
2020-02;104.56;0.0018204464884545857
2020-03;105.13;0.005451415455240971
2020-04;105.43;0.0028536098164178014
2020-05;105.33;-0.0009484966328370259
2020-06;105.69;0.003417829678154405
2020-07;105.32;-0.0035008042388117167
2020-08;104.88;-0.004177744018230123
2020-09;104.96;0.0007627765064834868
2020-10;105.15;0.0018102134146342763
2020-11;104.8;-0.003328578221588274
2020-12;105.15;0.0033396946564885344
2021-01;105.32;0.0016167379933427206
2021-02;105.54;0.002088872009115228
2021-03;106.53;0.009380329732802783
2021-04;107.14;0.00572608654839013
2021-05;107.42;0.0026134030240807515
2021-06;107.7;0.002606590951405696
2021-07;107.6;-0.0009285051067782213
2021-08;107.98;0.0035315985130113248
2021-09;108.49;0.004723096869790666
2021-10;109.41;0.008480044243709184
2021-11;109.9;0.004478566858605371
2021-12;110.37;0.004276615104640502
2022-01;110.7;0.00298994291927146
2022-02;111.74;0.009394760614272801
2022-03;114.46;0.02434222301771971
2022-04;115.11;0.0056788397693516846
2022-05;116.07;0.00833984884023975
2022-06;117.01;0.008098561213061295
2022-07;117.14;0.0011110161524656714
2022-08;117.85;0.006061123442035132
2022-09;119.26;0.0119643614764533
2022-10;121.03;0.014841522723461287
2022-11;120.95;-0.0006609931421961424
2022-12;120.52;-0.003555188094253925
2023-01;120.27;-0.002074344507135728
2023-02;121.24;0.008065186663340773
2023-03;122.34;0.00907291322995718
2023-04;123.12;0.006375674350171723
2023-05;123.15;0.0002436647173489348
2023-06;123.47;0.002598457166057555
2023-07;123.36;-0.0008909046731999659
2023-08;124.03;0.005431258106355363
2023-09;124.43;0.0032250262033379773
2023-10;124.54;0.0008840311821907143
2023-11;123.85;-0.005540388630159043
2023-12;124.05;0.0016148566814695453
2024-01;123.6;-0.0036275695284160303
2024-02;124.37;0.006229773462783195
2024-03;125.31;0.0075580927876497395
2024-04;126.04;0.005825552629478814
2024-05;126.31;0.0021421770866392187
2024-06;126.58;0.0021375979732403128
2024-07;126.54;-0.00031600568810230545
2024-08;126.72;0.0014224751066855834
2024-09;126.6;-0.0009469696969697239
2024-10;127.03;0.0033965244865719058
2024-11;126.62;-0.003227584035267239
2024-12;127.07;0.0035539409256040155
2025-01;126.72;-0.002754387345557552
2025-02;127.26;0.0042613636363637575
2025-03;128.04;0.006129184347005934
