year,codigo_aeat,population,renta_bruta_total,renta_disponible_total,renta_disponible_per_capita,mun_code,NOMBRE,CODAUTO,EV0,I_salud,I_educ,I_ingresos
2013,315,1689.0,11051970.0395237,9705622.5795237,5746.3721607600355,4037,Chirivel,01,82.29,0.9583076923076924,0.24613368283093054,0.049486056175814475
2013,316,3979.0,24717724.2923807,21536438.2023807,5412.525308464614,4038,Dalías,01,82.29,0.9583076923076924,0.24613368283093054,0.04551496735587275
2013,319,2203.0,12414562.1523809,10606091.7923809,4814.385743250522,4044,Fines,01,82.29,0.9583076923076924,0.24613368283093054,0.03840013214369406
2013,320,2201.0,11664969.5533332,10508404.9733332,4774.377543540754,4045,Fiñana,01,82.29,0.9583076923076924,0.24613368283093054,0.03792423694360134
2013,322,3096.0,15984790.102857,13818903.492857,4463.470120431847,4047,Gádor,01,82.29,0.9583076923076924,0.24613368283093054,0.034226011294757615
2013,323,3126.0,15943271.7999999,13735149.9999999,4393.841970569386,4048,"Gallardos, Los",01,82.29,0.9583076923076924,0.24613368283093054,0.033397788516645655
2013,324,8632.0,55147191.0959027,47177280.3959037,5465.393929089863,4049,Garrucha,01,82.29,0.9583076923076924,0.24613368283093054,0.04614383651203567
2013,325,1034.0,4646406.3038095,4123535.7838095,3987.9456323109284,4050,Gérgal,01,82.29,0.9583076923076924,0.24613368283093054,0.028569675267019704
2013,327,16663.0,151059714.109031,127084962.659032,7626.775650184961,4052,Huércal de Almería,01,82.29,0.9583076923076924,0.24613368283093054,0.07185334591508374
2013,328,18374.0,135349628.620462,115094099.700463,6263.9653695691195,4053,Huércal-Overa,01,82.29,0.9583076923076924,0.24613368283093054,0.05564279718040145
2013,332,1633.0,8594454.5461904,7579851.3161904,4641.672575744275,4057,Laujar de Andarax,01,82.29,0.9583076923076924,0.24613368283093054,0.03634571909823613
2013,334,1607.0,8666095.422857,7940345.082857,4941.098371410703,4059,Lubrín,01,82.29,0.9583076923076924,0.24613368283093054,0.03990737145888478
2013,337,5719.0,41213318.8699997,34617371.6999997,6053.046284315387,4062,Macael,01,82.29,0.9583076923076924,0.24613368283093054,0.053133926973585016
2013,338,1315.0,8087735.0547618,7311595.0747618,5560.148345826464,4063,María,01,82.29,0.9583076923076924,0.24613368283093054,0.04727093476788456
2013,339,6838.0,40402287.8952379,34067362.2752379,4982.065264000863,4064,Mojácar,01,82.29,0.9583076923076924,0.24613368283093054,0.04039467025482663
2013,341,28627.0,144978997.59379,126243389.023791,4409.941280043002,4066,Níjar,01,82.29,0.9583076923076924,0.24613368283093054,0.03358928886304666
2013,344,6387.0,41724403.1238091,35578884.4738092,5570.515809270268,4069,Olula del Río,01,82.29,0.9583076923076924,0.24613368283093054,0.04739425514035407
2013,345,2495.0,10844722.5157142,9702515.2557142,3888.78366962493,4070,Oria,01,82.29,0.9583076923076924,0.24613368283093054,0.02739014950939061
2013,349,3849.0,23480033.7950474,20092235.2950475,5220.118289178357,4074,Pechina,01,82.29,0.9583076923076924,0.24613368283093054,0.043226297093108546
2013,350,8562.0,65066191.3685681,55775941.3385689,6514.358951012486,4075,Pulpí,01,82.29,0.9583076923076924,0.24613368283093054,0.05862121421509325
2013,351,1662.0,9555086.6514285,8242309.2614285,4959.271517104994,4076,Purchena,01,82.29,0.9583076923076924,0.24613368283093054,0.04012353996607175
2013,353,1406.0,7322608.6709523,6408728.7809523,4558.128578202205,4078,Rioja,01,82.29,0.9583076923076924,0.24613368283093054,0.0353519681243046
2013,354,91682.0,703051818.639888,583133690.139916,6360.394517352544,4079,Roquetas de Mar,01,82.29,0.9583076923076924,0.24613368283093054,0.056789816264290895
2013,358,2218.0,13571733.4490475,11691675.2990475,5271.26929623422,4083,Serón,01,82.29,0.9583076923076924,0.24613368283093054,0.043834735336128285
2013,361,2689.0,13551810.0299999,12078448.0799999,4491.799211602789,4086,Sorbas,01,82.29,0.9583076923076924,0.24613368283093054,0.034562984180542045
2013,363,3646.0,17315309.078095,15454863.068095,4238.854379620132,4088,Tabernas,01,82.29,0.9583076923076924,0.24613368283093054,0.03155422016961313
2013,367,3776.0,24130731.8576188,20624448.4976188,5461.983182632097,4092,Tíjola,01,82.29,0.9583076923076924,0.24613368283093054,0.04610326588202084
2013,368,3563.0,17247528.8585713,15139550.0385713,4249.101891263345,4093,Turre,01,82.29,0.9583076923076924,0.24613368283093054,0.03167611372241672
2013,373,2064.0,11377549.327619,10217831.687619,4950.4998486526165,4098,Vélez-Blanco,01,82.29,0.9583076923076924,0.24613368283093054,0.04001920148187167
2013,374,6791.0,48899794.6739982,42546195.7739994,6265.08552113082,4099,Vélez-Rubio,01,82.29,0.9583076923076924,0.24613368283093054,0.055656121317839695
2013,375,15018.0,106988691.495896,89297331.6858977,5946.02022146076,4100,Vera,01,82.29,0.9583076923076924,0.24613368283093054,0.051860858203512265
2013,376,5605.0,35274703.2266664,30557735.7066664,5451.870777282141,4101,Viator,01,82.29,0.9583076923076924,0.24613368283093054,0.04598297941068879
2013,377,24384.0,130068078.048557,113085028.168558,4637.673399301099,4102,Vícar,01,82.29,0.9583076923076924,0.24613368283093054,0.03629814912789412
2013,378,3129.0,15111111.7723808,13465554.6023808,4303.469032400383,4103,Zurgena,01,82.29,0.9583076923076924,0.24613368283093054,0.03232280769259212
2013,380,84144.0,466475092.257157,401374402.057158,4770.089395050842,4902,"Ejido, El",01,82.29,0.9583076923076924,0.24613368283093054,0.03787322966763196
