CODAUTO,year,EV0,I_salud
08,2020,81.96,0.9532307692307691
08,2021,84.57,0.9933846153846153
08,2022,84.95,0.9992307692307693
08,2023,85.89,1.0
09,1991,77.41,0.8832307692307692
09,1992,77.7,0.8876923076923078
09,1993,77.99,0.8921538461538461
09,1994,78.52,0.9003076923076923
09,1995,78.48,0.8996923076923078
09,1996,78.92,0.9064615384615385
09,1997,79.16,0.9101538461538461
09,1998,79.48,0.9150769230769231
09,1999,79.22,0.911076923076923
09,2000,80.06,0.924
09,2001,80.32,0.9279999999999999
09,2002,80.44,0.9298461538461538
09,2003,80.36,0.9286153846153846
09,2004,81.18,0.9412307692307693
09,2005,80.87,0.9364615384615386
09,2006,82.04,0.9544615384615386
09,2007,81.99,0.9536923076923076
09,2008,82.49,0.9613846153846153
09,2009,82.74,0.9652307692307691
09,2010,83.34,0.9744615384615385
09,2011,83.69,0.9798461538461538
09,2012,83.49,0.9767692307692307
09,2013,84.26,0.9886153846153847
09,2014,84.55,0.9930769230769231
09,2015,84.38,0.9904615384615384
09,2016,84.93,0.998923076923077
09,2017,84.76,0.9963076923076923
09,2018,85.02,1.0
09,2019,85.63,1.0
09,2020,83.18,0.9720000000000001
09,2021,84.91,0.9986153846153846
09,2022,85.08,1.0
09,2023,85.93,1.0
10,1991,76.51,0.8693846153846154
10,1992,76.87,0.874923076923077
10,1993,77.2,0.88
10,1994,77.34,0.8821538461538462
10,1995,77.78,0.8889230769230769
10,1996,77.8,0.8892307692307692
10,1997,78.07,0.8933846153846153
10,1998,78.53,0.9004615384615384
10,1999,78.21,0.8955384615384614
10,2000,79.01,0.907846153846154
10,2001,79.16,0.9101538461538461
10,2002,79.29,0.9121538461538462
10,2003,79.3,0.9123076923076923
10,2004,80.15,0.9253846153846155
10,2005,80.01,0.9232307692307693
10,2006,80.99,0.9383076923076922
10,2007,81.02,0.9387692307692307
10,2008,81.52,0.9464615384615384
10,2009,82.0,0.9538461538461539
10,2010,82.36,0.9593846153846154
10,2011,82.64,0.9636923076923077
10,2012,82.65,0.9638461538461539
10,2013,83.49,0.9767692307692307
10,2014,83.62,0.9787692307692308
10,2015,83.18,0.9720000000000001
10,2016,83.79,0.9813846153846155
10,2017,83.61,0.9786153846153846
10,2018,83.72,0.9803076923076923
10,2019,84.35,0.9899999999999999
10,2020,83.39,0.9752307692307692
10,2021,83.37,0.974923076923077
10,2022,83.71,0.980153846153846
10,2023,84.75,0.9961538461538462
11,1991,76.95,0.8761538461538462
11,1992,77.43,0.8835384615384616
11,1993,77.39,0.8829230769230769
11,1994,78.09,0.8936923076923078
11,1995,78.3,0.8969230769230769
11,1996,78.21,0.8955384615384614
11,1997,78.84,0.9052307692307693
11,1998,78.89,0.906
11,1999,78.82,0.9049230769230768
11,2000,79.28,0.912
11,2001,79.75,0.9192307692307692
11,2002,79.69,0.9183076923076923
11,2003,79.45,0.9146153846153846
11,2004,80.35,0.9284615384615383
11,2005,80.02,0.9233846153846154
11,2006,81.03,0.938923076923077
11,2007,81.04,0.9390769230769231
11,2008,81.86,0.9516923076923077
11,2009,81.86,0.9516923076923077
11,2010,82.08,0.955076923076923
11,2011,82.66,0.964
11,2012,82.19,0.9567692307692307
11,2013,82.89,0.9675384615384616
11,2014,83.51,0.9770769230769232
11,2015,83.01,0.9693846153846155
11,2016,83.43,0.9758461538461539
11,2017,83.5,0.9769230769230769
11,2018,83.82,0.9818461538461537
11,2019,84.43,0.9912307692307694
11,2020,82.82,0.9664615384615384
11,2021,83.44,0.976
11,2022,83.56,0.9778461538461539
11,2023,84.97,0.9995384615384615
12,1991,76.98,0.8766153846153847
12,1992,77.52,0.8849230769230768
12,1993,77.81,0.8893846153846154
12,1994,78.12,0.8941538461538462
12,1995,78.13,0.8943076923076922
12,1996,78.06,0.8932307692307693
12,1997,78.93,0.9066153846153847
12,1998,79.27,0.9118461538461538
12,1999,79.45,0.9146153846153846
12,2000,79.66,0.9178461538461538
12,2001,80.34,0.9283076923076924
12,2002,80.56,0.9316923076923077
12,2003,80.32,0.9279999999999999
12,2004,81.28,0.9427692307692308
12,2005,81.14,0.9406153846153846
12,2006,81.64,0.9483076923076923
12,2007,81.6,0.9476923076923076
12,2008,82.29,0.9583076923076924
12,2009,82.44,0.9606153846153845
12,2010,83.06,0.9701538461538461
12,2011,83.32,0.974153846153846
12,2012,83.39,0.9752307692307692
12,2013,83.86,0.9824615384615385
12,2014,84.49,0.992153846153846
12,2015,84.01,0.9847692307692308
12,2016,84.1,0.986153846153846
12,2017,84.63,0.9943076923076922
12,2018,84.65,0.9946153846153847
12,2019,85.37,1.0
12,2020,85.13,1.0
12,2021,85.31,1.0
12,2022,84.87,0.9980000000000001
12,2023,85.76,1.0
13,1991,77.58,0.8858461538461538
13,1992,78.17,0.8949230769230769
13,1993,78.39,0.8983076923076924
13,1994,78.83,0.905076923076923
13,1995,79.0,0.9076923076923077
13,1996,79.35,0.913076923076923
13,1997,80.33,0.9281538461538461
13,1998,80.17,0.9256923076923077
13,1999,80.4,0.9292307692307693
13,2000,80.78,0.9350769230769231
13,2001,80.89,0.9367692307692308
13,2002,81.18,0.9412307692307693
13,2003,80.98,0.9381538461538462
13,2004,81.84,0.9513846153846154
13,2005,82.1,0.9553846153846153
13,2006,82.93,0.9681538461538463
13,2007,82.93,0.9681538461538463
13,2008,83.58,0.9781538461538462
13,2009,84.07,0.9856923076923075
13,2010,84.83,0.9973846153846153
13,2011,85.08,1.0
13,2012,85.13,1.0
13,2013,85.76,1.0
13,2014,86.05,1.0
13,2015,85.53,1.0
13,2016,86.52,1.0
13,2017,86.46,1.0
13,2018,86.9,1.0
13,2019,87.24,1.0
13,2020,82.92,0.968
13,2021,86.7,1.0
13,2022,87.07,1.0
13,2023,88.32,1.0
14,1991,76.49,0.869076923076923
14,1992,77.19,0.8798461538461538
14,1993,77.5,0.8846153846153846
14,1994,77.69,0.8875384615384615
14,1995,78.2,0.8953846153846154
14,1996,78.15,0.8946153846153847
14,1997,78.23,0.895846153846154
14,1998,78.43,0.898923076923077
14,1999,77.99,0.8921538461538461
14,2000,78.69,0.9029230769230769
14,2001,79.22,0.911076923076923
14,2002,79.28,0.912
14,2003,79.47,0.914923076923077
14,2004,80.02,0.9233846153846154
14,2005,80.09,0.9244615384615386
14,2006,80.9,0.936923076923077
14,2007,80.82,0.9356923076923076
14,2008,81.0,0.9384615384615385
14,2009,81.48,0.9458461538461539
14,2010,82.4,0.9600000000000001
14,2011,82.53,0.962
14,2012,82.52,0.9618461538461538
14,2013,83.37,0.974923076923077
14,2014,83.6,0.9784615384615384
14,2015,83.22,0.9726153846153845
14,2016,83.66,0.9793846153846153
14,2017,83.48,0.9766153846153847
14,2018,83.9,0.9830769230769232
14,2019,83.97,0.9841538461538462
14,2020,83.51,0.9770769230769232
14,2021,83.33,0.9743076923076923
14,2022,83.13,0.9712307692307691
14,2023,84.29,0.9890769230769232
15,1991,78.34,0.8975384615384616
15,1992,79.29,0.9121538461538462
15,1993,79.13,0.9096923076923076
15,1994,79.73,0.918923076923077
15,1995,79.76,0.9193846153846155
15,1996,79.85,0.9207692307692307
15,1997,80.5,0.9307692307692308
15,1998,80.35,0.9284615384615383
15,1999,80.62,0.9326153846153847
15,2000,81.0,0.9384615384615385
15,2001,81.59,0.9475384615384616
15,2002,81.61,0.9478461538461538
15,2003,81.36,0.944
15,2004,82.18,0.9566153846153848
15,2005,82.24,0.9575384615384614
15,2006,82.89,0.9675384615384616
15,2007,83.04,0.9698461538461539
15,2008,83.31,0.9740000000000001
15,2009,84.11,0.9863076923076923
15,2010,85.08,1.0
15,2011,84.95,0.9992307692307693
15,2012,84.71,0.9955384615384615
15,2013,84.93,0.998923076923077
15,2014,85.12,1.0
15,2015,85.23,1.0
15,2016,85.35,1.0
15,2017,85.34,1.0
15,2018,85.91,1.0
15,2019,86.8,1.0
15,2020,84.49,0.992153846153846
15,2021,86.24,1.0
15,2022,85.44,1.0
15,2023,87.05,1.0
16,1991,77.2,0.88
16,1992,77.82,0.8895384615384614
16,1993,78.15,0.8946153846153847
16,1994,78.46,0.8993846153846153
16,1995,78.23,0.895846153846154
16,1996,78.34,0.8975384615384616
16,1997,79.22,0.911076923076923
16,1998,79.2,0.9107692307692308
16,1999,79.62,0.9172307692307693
16,2000,79.97,0.9226153846153846
16,2001,80.62,0.9326153846153847
16,2002,80.5,0.9307692307692308
16,2003,80.58,0.9319999999999999
16,2004,81.29,0.942923076923077
16,2005,81.24,0.9421538461538461
16,2006,82.27,0.958
16,2007,81.98,0.9535384615384616
16,2008,82.49,0.9613846153846153
16,2009,82.77,0.9656923076923076
16,2010,83.36,0.9747692307692307
16,2011,83.5,0.9769230769230769
16,2012,83.77,0.9810769230769231
16,2013,84.52,0.9926153846153846
16,2014,84.73,0.9958461538461539
16,2015,84.21,0.9878461538461537
16,2016,84.88,0.9981538461538461
16,2017,84.99,0.9998461538461537
16,2018,85.21,1.0
16,2019,85.84,1.0
16,2020,84.53,0.9927692307692307
16,2021,85.39,1.0
16,2022,85.18,1.0
16,2023,86.7,1.0
17,1991,78.11,0.894
17,1992,78.3,0.8969230769230769
17,1993,78.72,0.9033846153846153
17,1994,79.33,0.9127692307692308
17,1995,79.53,0.9158461538461539
17,1996,79.46,0.9147692307692307
