mun_code,valor_mapa
03055,1794240.93
03056,2330252.65
03057,31724.7
03058,1452352.87
03059,6149719.17
03060,21535.19
03061,303272.51
03062,127610.4
03063,9409411.12
03064,1423472.12
03066,12778984.19
03067,18416.16
03068,8355.97
03069,1473767.45
03070,757260.71
03071,1186942.6
03072,86450.77
03073,45519.06
03074,466950.48
03075,39494.8
03076,3102796.96
03077,443608.11
03078,213628.78
03079,5047369.52
03080,345712.53
03081,482664.0
03082,6313201.58
03083,1414896.84
03084,106873.26
03085,165529.32
03086,44348.65
03088,1645964.05
03089,2521206.92
03090,5311209.03
03091,79763.01
03092,1927945.51
03093,5758220.73
03094,4000881.83
03095,1354435.38
03096,1484938.01
03097,389146.12
03098,134607.2
03100,163375.19
03101,1472056.25
03102,2096858.74
03103,51200.02
03104,7759669.28
03105,1518260.8
03106,124061.01
03107,879030.88
03109,806289.31
03110,112897.37
03111,1518500.79
03112,193448.71
03113,3269479.0
03114,426291.91
03115,69269.15
03116,278860.18
03117,124591.39
03118,1580229.8
03119,5153596.93
03120,1184783.0
03121,6846360.55
03122,13621165.69
03123,2013952.86
03124,103371.42
03125,103169.31
03127,112290.1
03128,2262481.95
03129,319535.33
03130,10366.35
03131,58294.01
03132,114669.62
03134,27589.42
03135,35931.68
03136,102036.5
03137,140649.9
03138,870430.18
03139,7438049.84
03140,7135565.21
03901,518722.29
03902,4685512.64
03903,834539.22
03904,340454.81
04001,209344.47
04002,209843.24
04003,5536016.26
04004,137972.74
04005,112454.63
04006,2315102.33
04007,141669.78
04008,85573.24
04009,26161.67
04010,127032.0
04011,636106.71
04012,40568.14
04014,29737.91
04015,24021.94
04016,553101.26
04017,769863.84
04018,49437.1
04019,40733.75
04020,54655.78
04021,36170.7
04022,162718.51
04023,18682.55
04024,760039.89
04026,9451.5
04027,47654.98
04028,43469.26
04029,2476165.62
04030,210623.35
04031,594607.96
04032,1559105.89
04033,21678.71
04034,29780.98
04035,2775495.27
04036,47216.49
04037,238657.36
04038,734853.39
04041,78591.68
04043,111432.58
04044,350972.24
04045,328827.69
04046,170666.9
04047,627711.79
04048,469728.91
04049,1723334.91
04050,173514.97
04051,90063.89
04052,3472668.04
04053,3819636.78
04054,68576.04
04055,78645.51
04056,34884.2
04057,272953.86
04058,69669.96
04059,261214.85
04060,92883.41
04061,129301.69
04062,1056927.17
04063,224901.56
04064,1397532.4
04065,82060.14
04066,6690367.39
04067,95978.82
04068,33705.9
04069,1209329.56
04070,381483.72
04071,68596.0
04072,190645.58
04073,62726.62
04074,809137.27
04075,1919713.78
04076,278579.67
04077,57837.7
04078,240906.13
04080,41656.5
04081,82299.3
04082,51690.75
04083,338695.67
04084,65952.86
04085,72412.1
04086,415608.38
04087,33491.43
04088,653480.37
04089,157592.8
04090,62873.67
04091,63407.16
04092,606281.71
04093,600614.5
04094,40214.37
04095,146346.0
04096,59270.96
04097,39673.62
04098,319692.45
04099,1298132.23
04100,3305901.1
04101,1132215.81
04102,5497656.41
04103,499932.29
04901,94598.14
04903,1809941.11
04904,529459.76
05001,38993.82
05002,437215.8
05005,34777.61
05007,19634.64
05008,43922.07
05010,26902.19
05012,22449.92
05013,160444.96
05014,1224189.45
05015,12686.81
05016,1534813.16
05017,15157.03
05018,4810.4
05021,404357.25
05022,307289.67
05023,34824.03
05024,32373.47
05025,14228.12
05026,39490.17
05027,54689.63
05029,17743.52
05030,8781.09
05033,35064.04
05034,2870.43
05035,18905.16
05036,21841.75
05037,43455.73
05038,20449.37
05039,7663.31
05040,11225.92
05041,200656.51
05042,28215.35
05043,13228.73
05044,45471.27
05045,15371.02
05046,8148.67
05047,942007.24
05048,18179.63
05049,74515.19
05051,29239.26
05052,15095.36
05053,13301.22
05054,239311.15
05055,110507.83
05056,19359.97
05057,545300.95
05058,11957.15
05059,15462.07
05060,19447.94
05061,59560.86
05062,28690.08
05063,5299.0
05064,20533.38
05065,86528.96
05066,82908.23
05067,12824.79
05069,15080.83
05070,7310.24
05072,21936.85
05073,53728.1
05074,126449.97
05075,20993.56
05076,98113.27
05077,32946.21
05078,17193.8
05079,11228.36
05080,6852.82
05081,6554.17
05082,97808.32
05083,25485.09
05084,10281.4
05085,5911.66
05086,12917.75
05087,27188.21
05088,4406.27
05089,81328.63
05090,13615.88
05092,27391.58
05093,79291.66
05094,20563.15
05095,48318.49
05096,14267.25
05097,85669.13
05099,93714.0
05100,48246.77
05101,47857.3
05102,350803.13
05103,10459.27
05104,5530.45
05105,67722.23
05106,4722.12
05107,8510.83
05108,6292.61
05109,87779.1
05110,133850.1
05112,16973.37
05113,10332.62
05114,259737.25
05115,116494.78
05116,16672.24
05117,36349.26
05118,12898.69
05119,3998.0
05120,5450.44
05121,53087.02
05122,20849.54
05123,18595.52
05124,16489.37
05125,10190.12
05126,10525.66
05127,115232.37
05128,66740.53
05129,20185.35
05130,17655.69
05131,16214.59
05132,163970.96
05133,11962.76
05134,9399.17
05135,64552.49
05136,15493.25
05138,58304.07
05139,11603.76
05140,24973.93
05141,17035.72
05142,16531.39
05143,10275.45
05144,12161.76
