codigo_municipio,nombre_municipio,latitud,longitud
22004,Agüero,42.3229590064602,-0.8301959117012786
22083,Castejón de Monegros,41.64591922992797,-0.2088864545456157
22084,Castejón de Sos,42.53026940426371,0.5204797626513145
22122,Hoz de Jaca,42.6857449407094,-0.29420409459714186
22124,Huerto,41.925718596587615,-0.18639003340762103
22158,Monzón,41.899552436625505,0.16829747598829353
22205,San Esteban de Litera,41.89738502070722,0.3306838377737848
22904,La Sotonera,42.24838925201015,-0.5416096668213608
23052,Jimena,37.83971810398307,-3.5165254604387717
23058,Mancha Real,37.835534540312665,-3.6104726185811393
23059,Marmolejo,38.06954131582047,-4.171293910194335
23087,Torredonjimeno,37.79503010958197,-4.04413087992341
23101,Villarrodrigo,38.482395487414195,-2.670924198776665
24003,Alija del Infantado,42.1529976154241,-5.846707795770763
24004,Almanza,42.67172349313612,-5.009959566422867
24056,Cistierna,42.79710338066585,-5.1176703683925115
24058,Corbillos de los Oteros,42.41136849294206,-5.454285652739993
24156,Santa María del Monte de Cea,42.49657705909118,-5.135824674994771
24180,Valdepolo,42.554211770460455,-5.2259396514163345
24190,Valverde-Enrique,42.30699100384277,-5.286689878661597
24205,Villadangos del Páramo,42.52020605606163,-5.772091215544767
24212,Villamañán,42.339658349997286,-5.60032051299694
25074,Ciutadilla,41.54303005670595,1.1454095544352603
25089,Farrera,42.48321249479332,1.2963389116816326
25112,Ivars de Noguera,41.86801147292211,0.6096349529934361
25134,Menàrguens,41.7382574661515,0.7300910845902806
25190,Salàs de Pallars,42.22195019045461,0.9216478775462581
25222,Tiurana,41.956516643071915,1.2354192504898849
26009,Alesanco,42.4214483771775,-2.8181364437842307
26025,Baños de Rioja,42.51177216375703,-2.953781137674449
26033,Briñas,42.60483609296493,-2.8319657803618585
26099,Murillo de Río Leza,42.402697469224066,-2.3095981612118885
26177,Villoslada de Cameros,42.06782189727734,-2.6918835637350815
26183,Zorraquín,42.32154188441584,-3.0443342041862165
27010,Castro de Rei,43.173898632880686,-7.43941395493241
27032,Monterroso,42.81697479928414,-7.802581215900622
27058,O Saviñao,42.6395170824155,-7.648296292508013
28013,Aranjuez,39.99487616133477,-3.6788875013005162
28048,Corpa,40.418877592947595,-3.2481499687368167
28052,Chinchón,40.16245216802635,-3.478284632076696
28079,Madrid,40.4654288813921,-3.696466357303122
28175,Villamantilla,40.342477512844404,-4.143883282426572
29011,Almogía,36.84184109931104,-4.548539181744957
29018,Ardales,36.8927893296169,-4.847164765922288
29069,Marbella,36.51441505141867,-4.876386693103481
30018,Ceutí,38.085934487740275,-1.2811581945384014
31027,Arbizu,42.93182203145829,-2.039830220833037
31044,Bakaiku,42.907350565724784,-2.108175172222398
31064,Cadreita,42.22674538659036,-1.6849398101597983
31066,Cárcar,42.414005484865214,-1.981777801447175
31079,Desojo,42.58758120828275,-2.2671431737189023
31100,Eulate,42.768643278824214,-2.207389792719715
31131,Iza,42.885468235278246,-1.7734685918508242
31138,Lakuntza,42.934169366797484,-2.0173067137751675
31152,Lerín,42.478581898880485,-1.9597183258081092
31176,Murchante,42.044165378985745,-1.6693966369999904
31180,Muruzábal,42.68866413993447,-1.7620517900367783
31187,Oiz,43.0906975167963,-1.6918807494438903
31189,Olazti,42.88775551446418,-2.201587480203444
31907,Zizur Mayor,42.79009827409547,-1.6950738867071664
32010,Beade,42.32522715244006,-8.133113984354594
32035,O Irixo,42.51397758279399,-8.140928028238282
32043,Maceda,42.25672798240654,-7.600007782085047
32057,Parada de Sil,42.36271331953249,-7.562007080016265
32079,Taboadela,42.24820423940133,-7.826483591608793
33001,Allande,43.23631211855676,-6.714905363772946
33075,Villanueva de Oscos,43.32464481934568,-6.98959159123627
34052,Castrillo de Villavega,42.45458063957049,-4.477941905896042
34087,Hornillos de Cerrato,41.9943262181379,-4.258384841924381
34093,La Vid de Ojeda,42.65625304013132,-4.393786095340621
34175,La Serna,42.41725216006203,-4.657818431690898
34202,Villabasta de Valdavia,42.555731553574795,-4.615266912244807
34903,Loma de Ucieza,42.46410316128547,-4.5806280606733605
36017,A Estrada,42.68690485574315,-8.457335282861228
36034,As Neves,42.1219503626107,-8.401124883175466
36040,Portas,42.565055005831056,-8.66980759391379
37001,Abusejo,40.705555078527986,-6.135164532158267
37008,Alba de Tormes,40.828012985588494,-5.509393245430302
37041,Barbalos,40.65960122241908,-5.941335130548272
37054,El Bodón,40.49769863080284,-6.586620945119076
37058,Brincones,41.11193057185597,-6.34792553125173
37124,Endrinal,40.59500282644872,-5.812490708126388
37125,Escurial de la Sierra,40.61284003709,-5.957196663883616
37131,Frades de la Sierra,40.65877081496542,-5.774300306217781
37155,Guijo de Ávila,40.520911855286684,-5.634163914665925
37187,Matilla de los Caños del Río,40.82729895471445,-5.92484173813171
37218,Navamorales,40.48062452765645,-5.486015184860196
37264,Puerto Seguro,40.813070386871466,-6.764124668463043
37289,San Muñoz,40.76670918582784,-6.1272449566383855
37296,Santiago de la Puebla,40.79124670002471,-5.2872775042550035
37299,Santiz,41.21180779614769,-5.88709315025326
37315,La Tala,40.59452208166134,-5.526702868352843
37323,Topas,41.183072725331634,-5.661258310709569
37379,Zamayón,41.160861434169064,-5.8267203153106495
39007,Arredondo,43.26771032344137,-3.633365000119088
39062,Ribamontán al Monte,43.41067465215108,-3.6584665364938016
39100,Villafufre,43.263537615584845,-3.884261465942413
