ccaa_code,año,1.0,2.0,3.0,5.0,6.0,7.0
14,2024,2.95,6.425,8.925,13.125,8.674999999999999,26.925
14,2025,3.1,6.6,8.8,11.6,8.5,28.5
15,2014,0.55,3.175,16.45,12.75,8.525,33.1
15,2015,0.525,2.7,16.6,12.825,8.6,32.425
15,2016,1.025,2.7750000000000004,15.950000000000001,12.575,9.325,34.35
15,2017,0.95,1.9500000000000002,16.3,11.325,10.275,34.85
15,2018,0.725,1.55,17.2,12.25,9.85,34.975
15,2019,0.6,1.5,15.05,12.75,10.025,36.425
15,2020,0.725,1.825,12.575,13.274999999999999,9.525,37.875
15,2021,0.75,2.35,13.225,13.049999999999999,9.9,37.85
15,2022,0.925,2.35,12.7,13.200000000000001,10.45,37.35
15,2023,0.95,2.675,12.7,14.175,10.1,37.775
15,2024,0.4,2.2,12.275,13.225,10.325,40.1
15,2025,0.5,2.0,12.8,14.2,10.4,39.7
16,2014,0.625,2.35,17.85,10.625,9.125,36.425
16,2015,0.575,2.275,16.25,11.35,9.125,37.0
16,2016,0.6,2.225,15.475,11.775,8.975,37.325
16,2017,0.625,2.175,14.925,11.425,9.25,37.925
16,2018,0.55,1.775,14.925,11.875,9.55,38.225
16,2019,0.45,1.925,13.7,11.875,9.475,39.125
16,2020,0.55,1.925,11.65,12.125,9.7,41.2
16,2021,0.5,2.3,10.725,11.95,9.75,42.725
16,2022,0.35,2.225,10.65,12.375,9.45,43.525
16,2023,0.9,2.125,9.625,12.375,10.05,44.099999999999994
16,2024,0.875,1.8250000000000002,9.9,12.9,10.675,44.3
16,2025,0.8,1.6,9.8,12.8,10.1,45.6
17,2014,0.65,3.55,19.575,12.85,8.525,28.825
17,2015,0.6499999999999999,3.3,18.6,13.2,8.225000000000001,30.375
17,2016,0.75,1.9,18.925,12.05,8.4,28.725
17,2017,0.95,2.025,14.025,13.025,8.65,28.55
17,2018,0.725,2.3499999999999996,11.35,13.1,8.725,29.0
17,2019,0.525,2.025,10.55,13.2,8.475,30.125
17,2020,0.5,2.1750000000000003,9.225,13.15,9.125,30.675
17,2021,1.05,1.775,8.2,13.25,9.45,31.425
17,2022,1.3,1.325,6.0,13.675,9.8,32.55
17,2023,1.025,1.6,5.975,12.875,9.649999999999999,31.45
17,2024,0.9,1.925,6.575,12.425,9.025,32.65
17,2025,0.7,1.5,7.0,13.7,9.4,32.3
18,2014,3.55,8.55,14.575,16.225,5.475,18.1
18,2015,3.5500000000000003,6.325,16.6,15.25,6.2,22.775
18,2016,4.375,4.1,17.975,14.9,4.95,23.175
18,2017,5.375,2.55,17.325,15.2,5.75,21.5
18,2018,4.7,3.2,17.125,13.575,6.825,21.6
18,2019,4.475,2.425,18.0,17.0,6.5,19.15
18,2020,3.15,2.05,17.55,16.9,6.675,21.6
18,2021,2.15,1.125,17.45,19.7,6.65,21.625
18,2022,3.825,1.175,21.15,15.55,6.025,18.5
18,2023,4.4,1.7,19.025,11.3,8.55,18.35
18,2024,3.275,1.7,14.075,15.1,6.9,29.55
18,2025,4.0,1.0,16.0,16.1,4.8,30.1
19,2014,2.9250000000000003,12.5,13.025,17.05,8.875,23.375
19,2015,4.975,11.5,15.375,15.1,5.95,22.45
19,2016,4.625,7.975,15.85,16.575,6.4,22.5
19,2017,4.35,7.8,14.125,19.725,5.4,24.225
19,2018,4.125,5.975,14.875,16.35,6.175,25.45
19,2019,5.3,6.45,15.85,13.775,7.8500000000000005,24.625
19,2020,4.225,4.0,15.725000000000001,16.825,7.925000000000001,28.675
19,2021,2.9,6.525,13.8,17.224999999999998,5.775,29.475
19,2022,3.4,8.1,13.275,16.125,7.3,28.325
19,2023,4.525,4.65,14.600000000000001,16.075,8.8,27.375
19,2024,4.575,4.1,16.075,14.225,7.55,26.55
19,2025,4.8,4.0,14.7,14.4,6.3,25.6
