ccaa_code,ccaa_name,año,nivel_formacion,media_total,nivel_formacion_code
02,Aragón,2019,Estudios primarios incompletos,3.125,2.0
02,Aragón,2019,Primera etapa de Educación Secundaria y similar,26.575,
02,Aragón,2019,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),10.1,6.0
02,Aragón,2019,"Segunda etapa de educación secundaria, con orientación general",13.55,5.0
02,Aragón,2020,Analfabetos,0.725,1.0
02,Aragón,2020,Educación primaria,15.325,3.0
02,Aragón,2020,Educación superior,30.975,7.0
02,Aragón,2020,Estudios primarios incompletos,2.75,2.0
02,Aragón,2020,Primera etapa de Educación Secundaria y similar,25.0,
02,Aragón,2020,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),10.725,6.0
02,Aragón,2020,"Segunda etapa de educación secundaria, con orientación general",14.45,5.0
02,Aragón,2021,Analfabetos,0.775,1.0
02,Aragón,2021,Educación primaria,13.55,3.0
02,Aragón,2021,Educación superior,31.475,7.0
02,Aragón,2021,Estudios primarios incompletos,2.65,2.0
02,Aragón,2021,Primera etapa de Educación Secundaria y similar,25.725,
02,Aragón,2021,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),11.15,6.0
02,Aragón,2021,"Segunda etapa de educación secundaria, con orientación general",14.65,5.0
02,Aragón,2022,Analfabetos,0.95,1.0
02,Aragón,2022,Educación primaria,13.775,3.0
02,Aragón,2022,Educación superior,32.525,7.0
02,Aragón,2022,Estudios primarios incompletos,2.625,2.0
02,Aragón,2022,Primera etapa de Educación Secundaria y similar,27.575,
02,Aragón,2022,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),9.975000000000001,6.0
02,Aragón,2022,"Segunda etapa de educación secundaria, con orientación general",12.575,5.0
02,Aragón,2023,Analfabetos,0.75,1.0
02,Aragón,2023,Educación primaria,12.625,3.0
02,Aragón,2023,Educación superior,32.975,7.0
02,Aragón,2023,Estudios primarios incompletos,2.8,2.0
02,Aragón,2023,Primera etapa de Educación Secundaria y similar,28.65,
02,Aragón,2023,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),10.25,6.0
02,Aragón,2023,"Segunda etapa de educación secundaria, con orientación general",12.0,5.0
02,Aragón,2024,Analfabetos,0.85,1.0
02,Aragón,2024,Educación primaria,12.0,3.0
02,Aragón,2024,Educación superior,31.925,7.0
02,Aragón,2024,Estudios primarios incompletos,2.7,2.0
02,Aragón,2024,Primera etapa de Educación Secundaria y similar,29.55,
02,Aragón,2024,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),10.45,6.0
