Municipios	Sexo	Periodo	Total
01002 Amurrio	Hombres	2023	5.134
01002 Amurrio	Hombres	2022	5.103
01002 Amurrio	Hombres	2021	5.084
01002 Amurrio	Hombres	2020	5.044
01002 Amurrio	Hombres	2019	5.100
01002 Amurrio	Hombres	2018	5.075
01002 Amurrio	Hombres	2017	5.101
01002 Amurrio	Hombres	2016	5.095
01002 Amurrio	Hombres	2015	5.099
01002 Amurrio	Hombres	2014	5.108
01002 Amurrio	Hombres	2013	5.081
01002 Amurrio	Hombres	2012	5.067
01002 Amurrio	Hombres	2011	5.030
01002 Amurrio	Hombres	2010	5.047
01002 Amurrio	Hombres	2009	5.069
01002 Amurrio	Hombres	2008	5.040
01002 Amurrio	Hombres	2007	4.948
01002 Amurrio	Hombres	2006	4.822
01002 Amurrio	Hombres	2005	4.796
01002 Amurrio	Hombres	2004	4.730
01002 Amurrio	Hombres	2003	4.743
01002 Amurrio	Hombres	2002	4.761
01002 Amurrio	Hombres	2001	4.826
01002 Amurrio	Hombres	2000	4.839
01002 Amurrio	Hombres	1999	4.854
01002 Amurrio	Hombres	1998	4.854
01002 Amurrio	Hombres	1997	""
01002 Amurrio	Hombres	1996	4.866
01002 Amurrio	Mujeres	2024	5.181
01002 Amurrio	Mujeres	2023	5.179
01002 Amurrio	Mujeres	2022	5.178
01002 Amurrio	Mujeres	2021	5.223
01002 Amurrio	Mujeres	2020	5.220
01002 Amurrio	Mujeres	2019	5.250
01002 Amurrio	Mujeres	2018	5.211
01002 Amurrio	Mujeres	2017	5.190
01002 Amurrio	Mujeres	2016	5.165
01002 Amurrio	Mujeres	2015	5.164
01002 Amurrio	Mujeres	2014	5.131
01002 Amurrio	Mujeres	2013	5.058
01002 Amurrio	Mujeres	2012	5.047
01002 Amurrio	Mujeres	2011	4.984
01002 Amurrio	Mujeres	2010	5.003
01002 Amurrio	Mujeres	2009	5.020
01002 Amurrio	Mujeres	2008	4.987
01002 Amurrio	Mujeres	2007	4.931
01002 Amurrio	Mujeres	2006	4.810
01002 Amurrio	Mujeres	2005	4.796
01002 Amurrio	Mujeres	2004	4.782
01002 Amurrio	Mujeres	2003	4.812
01002 Amurrio	Mujeres	2002	4.833
01002 Amurrio	Mujeres	2001	4.869
01002 Amurrio	Mujeres	2000	4.881
01002 Amurrio	Mujeres	1999	4.899
01002 Amurrio	Mujeres	1998	4.899
01002 Amurrio	Mujeres	1997	""
01002 Amurrio	Mujeres	1996	4.892
01 Araba/Álava	Total	2024	339.137
01 Araba/Álava	Total	2023	336.686
01 Araba/Álava	Total	2022	334.412
01 Araba/Álava	Total	2021	333.626
01 Araba/Álava	Total	2020	333.940
01 Araba/Álava	Total	2019	331.549
01 Araba/Álava	Total	2018	328.868
01 Araba/Álava	Total	2017	326.574
01 Araba/Álava	Total	2016	324.126
01 Araba/Álava	Total	2015	323.648
01 Araba/Álava	Total	2014	321.932
01 Araba/Álava	Total	2013	321.417
01 Araba/Álava	Total	2012	322.557
01 Araba/Álava	Total	2011	319.227
01 Araba/Álava	Total	2010	317.352
01 Araba/Álava	Total	2009	313.819
01 Araba/Álava	Total	2008	309.635
01 Araba/Álava	Total	2007	305.459
01 Araba/Álava	Total	2006	301.926
01 Araba/Álava	Total	2005	299.957
01 Araba/Álava	Total	2004	295.905
01 Araba/Álava	Total	2003	294.360
01 Araba/Álava	Total	2002	291.860
01 Araba/Álava	Total	2001	288.793
01 Araba/Álava	Total	2000	286.497
01 Araba/Álava	Total	1999	285.748
01 Araba/Álava	Total	1998	284.595
01 Araba/Álava	Total	1997	""
01 Araba/Álava	Total	1996	281.821
01 Araba/Álava	Hombres	2024	166.915
01 Araba/Álava	Hombres	2023	165.743
01 Araba/Álava	Hombres	2022	164.585
01 Araba/Álava	Hombres	2021	164.252
01 Araba/Álava	Hombres	2020	164.524
01 Araba/Álava	Hombres	2019	163.499
01 Araba/Álava	Hombres	2018	162.175
01 Araba/Álava	Hombres	2017	161.354
01 Araba/Álava	Hombres	2016	160.240
